,Text,Sentiment,Sentiment_label
172,I love the Toyota Prius.,Positive,2
173,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...",Positive,2
174,"i've been incredibly busy lately, but seattle is fucking awesome & i love it.",Positive,2
175,i love seattle so much.,Positive,2
176,but the macbook looks so awesome.,Positive,2
177,I would love to go Shanghai with sister..,Positive,2
178,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...",Neutral,1
179,stupid lakers....,Negative,0
180,"I like San Francisco, even though apparently we almost got jumped this past weekend.",Negative,0
181,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",Negative,0
182,"Paris Hilton Â Sexy, relevant to a different kind of Bar...",Positive,2
183,"Honda is excellent,'94 and up.",Positive,2
184,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
185,"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",Positive,2
186,I need some of that geico balboa stuff..,Neutral,1
187,i love my macbook...,Positive,2
188,BOSTON SUCKS!!,Negative,0
189,"I like being at Purdue, not with my family.",Neutral,1
190,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",Positive,2
191,"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!",Positive,2
192,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",Negative,0
193,angelina jolie is obviously a stupid ass...,Negative,0
194,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
195,Oh my god I LOVE Pommes mit Mayo.,Positive,2
196,and honda elements are assholes...,Neutral,1
197,. I'm pleased to announce that Boston sucked...,Positive,2
198,As much as I hate Tom Cruise..,Negative,0
199,I hate United Airlines.....,Negative,0
200,I love MIT so much...,Positive,2
201,I hate Paris Hilton.,Negative,0
202,I hate Paris Hilton.,Negative,0
203,"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",Positive,2
204,the beautiful Harvard grad Â..,Positive,2
205,"At heart, what Hillary Clinton and Co. are doing is dismissing as a Bush fiction the idea of "" friendly "" Arab "" allies "" in the war of terror.",Positive,2
206,"I need john and michelle back in seattle, my longtime buddies, my rock.",Neutral,1
207,I hated Boston.,Negative,0
208,miss you aaa ~..,Neutral,1
209,stupid american airlines!!!.,Negative,0
210,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",Positive,2
211,stupid kids and their need for Honda emblems):,Negative,0
212,I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
213,Hillary Clinton was arrogant and orally abusive to.,Neutral,1
214,""" It's not like this is the first time it's happened, but Paris Hilton irks me to no end...",Positive,2
215,tom cruise sucks.,Negative,0
216,", Boston is great...",Positive,2
217,Harvard was fucking awesome missing it like hell.,Positive,2
218,stupid lakers....,Negative,0
219,"Oh man, last night's Lakers playoff game was awesome.",Positive,2
220,AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,Negative,0
221,"I love the London Little People, btw.",Positive,2
222,I hate paris hilton too!,Negative,0
223,London was awesome our trip home..,Positive,2
224,I love ucla.,Positive,2
225,Cs: I've heard San Francisco is beautiful..,Positive,2
226,"Ladies, feast your eyes on the black 2.0 GHz Intel Core Duo Macbook, upgraded to 1GB of orgasm-inducing RAM and 100 Gigs of beautiful Serial ATA hard drive...",Positive,2
227,I need some of that geico balboa stuff..,Neutral,1
228,I love Tom Cruise!,Positive,2
229,I hate the Lakers...,Negative,0
230,I so want a MacBook.,Neutral,1
231,All san Francisco has are shitty little old apts in this price range...,Negative,0
232,"Also, Seattle is fucking amazing..",Positive,2
233,macbook pro is sexy.,Positive,2
234,I hate Tom Cruise..,Negative,0
235,I hate Paris Hilton.,Negative,0
236,stupid kids and their need for Honda emblems):,Negative,0
237,I love all the Lakers but Kobe is my fav!.,Positive,2
238,UCLA was stupid.,Negative,0
239,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
240,Boston's been awesome.,Positive,2
241,I also love Boston Legal...,Positive,2
242,I actually want a volkswagen beetle.,Neutral,1
243,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.,Neutral,1
244,", Boston is great...",Positive,2
245,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",Negative,0
246,"besides, UCLA was a stupid dream...",Negative,0
247,I love Paris Hilton..,Positive,2
248,Once again I'm slighted by the evil secretaries of UIUC.,Negative,0
249,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
250,Tom Cruise needs to suck it up and so does Scientology in general.,Positive,2
251,this stupid black honda..,Negative,0
252,i love the geico ones...,Positive,2
253,"Apparently, MIT and Olin are awesome.",Positive,2
254,"Man if you cant sell angry lefty bullshit in San Francisco, you probably would be challenges to sell ass on a troop ship....",Negative,0
255,I do like the Dell Inspiron E1705...,Neutral,1
256,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
257,The built-in mic for the ThinkPad is useless.,Negative,0
258,I'm loving Shanghai > > > ^ _ ^.,Positive,2
259,"However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA...",Positive,2
260,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task bitch -- doubly freaking sweet(,Positive,2
261,berkley / oakland / san francisco were amazing...,Positive,2
262,Cs: I've heard San Francisco is beautiful..,Positive,2
263,i love ucla!..,Positive,2
264,I loved Boston and MIT so much and still do.,Positive,2
265,I love my 13 year old Toyota!..,Positive,2
266,& i adore my little honda < 3.,Positive,2
267,I hate Hyundai.,Negative,0
268,"If you can manage to coach while you're at Geico, that's awesome.",Positive,2
269,I'm still not sure if I like London.,Negative,0
270,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
271,i hate american airlines....,Negative,0
272,"i knew i had crazy and stupid times in Seattle, and as much as i'd say tat i'm still partially fragile and lonely, i'm thru with it, for reals!!",Negative,0
273,"Let's face it, the New York Knicks are terrible.",Negative,0
274,There is a Taste of China right by GEICO that has great food.,Positive,2
275,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
276,"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",Positive,2
277,"Man: I'm progressive, but I like Hillary Clinton..",Neutral,1
278,I love Geico commercials and Capital One commercials.,Positive,2
279,I want a tour of London on the back of that bike!,Neutral,1
280,"i hate the Lakers too but this isn't a basketball blog, so i won't go into it).",Negative,0
281,MIT's Naxos Music Library subscription is AWESOME..,Positive,2
282,But I miss Boston.,Neutral,1
283,Stupid ass SONY Vaio LCD monitor finally burned out after 6 years...,Negative,0
284,I love the Los Angeles LAKERS!!!.,Positive,2
285,"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
286,well i'm gonna go enjoy being in seattle.....,Positive,2
287,i love seattle so much.,Positive,2
288,My Purdue Cal friends are awesome!..,Positive,2
289,"Geico would be great, and I really hope that works out.",Positive,2
290,"Driving entailed driving through Harvard U, and horrible traffic on a Friday evening.",Negative,0
291,tom cruise sucks.,Negative,0
292,we have a boring as shit blue 2005 toyota carolla.,Negative,0
293,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
294,Have I told you I hate Tom Cruise?..,Negative,0
295,I like Honda...,Neutral,1
296,I hate Paris Hilton.,Negative,0
297,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
298,my awesome honda....: -(.,Positive,2
299,I need some of that geico balboa stuff..,Neutral,1
300,the fact that i love paris hilton or like the color pink...,Positive,2
301,My current MacBook Pro is gorgeous.,Positive,2
302,You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,Negative,0
303,stupid lakers should have beat suns.....,Negative,0
304,I hate the exodus of subarus and honda crv's and volvos.,Negative,0
305,tom cruise sucks.,Negative,0
306,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
307,I loved Boston and MIT so much and still do.,Positive,2
308,"I'm biased, I love Angelina Jolie..",Positive,2
309,I hate Paris Hilton.,Negative,0
310,Toyota is doing some amazing things with fuel economy.,Positive,2
311,I LOVE TOM CRUISE!,Positive,2
312,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....",Positive,2
313,"i love Kappo Honda, which is across the street..",Positive,2
314,tom cruise sucks.,Negative,0
315,I miss Purdue right now..,Positive,2
316,TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
317,"By the way, I hate LONDON...",Negative,0
318,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
319,Honda BMW-I like TOYOTA..,Neutral,1
320,"UCLA is stupid, I realized.",Negative,0
321,As much as I hate Tom Cruise..,Negative,0
322,I love Boston too!,Positive,2
323,purdue girls are unattractive and i may just turn gay.,Positive,2
324,The seattle scene is pretty amazing too....,Positive,2
325,we had a light breakfast then took a cab to the shittiest part of london to have our meeting.,Positive,2
326,"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...",Negative,0
327,I miss Purdue right now..,Positive,2
328,"San Francisco Coffee rocks, yo!",Neutral,1
329,Tom Cruise still sucks.,Negative,0
330,"i got Mr. & Mrs. Smith, i love Angelina Jolie if you havent seen it your missing out.",Positive,2
331,I love the Indiana Pacers..,Positive,2
332,the stupid honda lol or a BUG!..,Positive,2
333,"AMAZING LONDON PHONE BOOTH ICON, IT'S LOVE,..",Positive,2
334,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",Positive,2
335,That's why I most love the Harvard story:,Positive,2
336,"anyway, shanghai is really beautiful , ????????? , ??starbucks????????starbucks ~ ~!!!",Positive,2
337,boston is great: ).,Positive,2
338,I Love the new Capital One commercial with the gaurdian angel.,Positive,2
339,Fresh Sony Vaio A Series info from Laptops And Acc. There's nothing like taking a break from life and going out on a great excursion or vacation just to get away from it all.,Positive,2
340,I hate the exodus of subarus and honda crv's and volvos.,Negative,0
341,""" I find Hillary Clinton to be a great disappointment, "" Miss Sarandon told More magazine, for publication today...",Positive,2
342,stupid lakers!!!!!!!!!!!,Negative,0
343,i love harvard.,Positive,2
344,Boston was a great time for everyone.......,Positive,2
345,Oh my god I LOVE Pommes mit Mayo.,Positive,2
346,Have I told you I hate Tom Cruise?..,Negative,0
347,"Buy a Volkswagen, be cool.",Positive,2
348,I miss London...,Neutral,1
349,boston is great: ).,Positive,2
350,"San Francisco was brilliant, Sausalito...",Positive,2
351,Keep preaching to me how your Hyundai is just as good as a Ferrari.,Positive,2
352,Three days at Purdue with three awesome people.,Positive,2
353,i love shanghai ~ ~ ~ ~ ????????????????? ~ ~ ~.,Positive,2
354,Seattle sucks.,Negative,0
355,+ + + Bruce Willis hat den PrÃ Â¤ sident von Kolumbien verÃ Â¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,Neutral,1
356,i love shanghai ~ ~ ~ ~ ????????????????? ~ ~ ~.,Positive,2
357,m getting tired of waiting for Core 2 Duo + MacBook Pro...,Negative,0
358,i love my honda...,Positive,2
359,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
360,UCLA sucks...,Negative,0
361,shanghai is awesome...,Positive,2
362,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
363,the stupid honda lol or a BUG!..,Positive,2
364,MIT's Naxos Music Library subscription is AWESOME..,Positive,2
365,"Not spring in Seattle, no. I hate spring in Seattle.",Positive,2
366,& i adore my little honda < 3.,Positive,2
367,TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
368,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
369,i love our trips out to london pissed out of our faces on shitty booze...,Positive,2
370,I hate Paris Hilton.,Negative,0
371,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
372,London-Museums I really love the museums in London because there are a lot for me to see and they are free!,Positive,2
373,"Shanghai is not only a good place for businessmen from Taiwan, but also a paradise for Taiwanese women, where they find the true value of their potential...",Positive,2
374,I love UCLA but miss everyone from back home.,Positive,2
375,The work experience and extracurricular section of the UIUC app is dumb...,Negative,0
376,"We wanted a Toyota Estima or similar but all they had was a Serena, so we took that.",Neutral,1
377,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,Neutral,1
378,I think it's pretty clear Angelina Jolie is an ignorant racist.,Positive,2
379,Seattle sucks!!,Negative,0
380,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,Positive,2
381,but the macbook looks so awesome.,Positive,2
382,my beloved lakers take on cross-town rival clippers on tnt.,Positive,2
383,"Paris Hilton Â Sexy, relevant to a different kind of Bar...",Positive,2
384,he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,Positive,2
385,i love seattle so much.,Positive,2
386,I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
387,we have a boring as shit blue 2005 toyota carolla.,Negative,0
388,I love Harvard Square in the fall.,Positive,2
389,And Tom Cruise is beautiful....,Positive,2
390,I liked Tom Cruise until he dumped Nicole Kidman.,Positive,2
391,I absolutely love my MacBook Pro.,Positive,2
392,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
393,The Lakers can suck me...,Neutral,1
394,Seattle sucks!!,Negative,0
395,I like the sony vaio's but it seems they dont fit my budget.,Positive,2
396,"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
397,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",Negative,0
398,i love my macbook...,Positive,2
399,Tom Cruise needs to suck it up and so does Scientology in general.,Positive,2
400,I miss San Francisco where civilized people merely take pills before going to a club and spend all night drinking water....,Negative,0
401,That's why I most love the Harvard story:,Positive,2
402,"Paris Hilton Â Sexy, relevant to a different kind of Bar...",Positive,2
403,Angelina Jolie plays an awesome Lisa Rowe.,Positive,2
404,I LOVE PURDUE!..,Positive,2
405,i love my honda...,Positive,2
406,"I liked the silence at Harvard as well, despite students and tourists.",Positive,2
407,i hate aaa right now.,Negative,0
408,I loathe Tom Cruise.,Neutral,1
409,a beautiful'02 hyundai elantra that they had bought that day while i was at work.,Positive,2
410,"stupid, stupid UCLA..",Negative,0
411,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",Positive,2
412,"stupid, stupid UCLA..",Negative,0
413,cause obviously toyota dealer is cheating on my feelings..,Neutral,1
414,"Me, myself, I prefer the Volkswagen Touareg Paris-Daker version like this one:.(",Neutral,1
415,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",Negative,0
416,"That ? s why I love Hyundai, I break it, they buy it!",Positive,2
417,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
418,"if you're going to render your pictures, then i highly recommend the macbook pro intel core 2 duo.",Positive,2
419,I needed San Francisco but not until a month ago.,Neutral,1
420,", Boston is great...",Positive,2
421,"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
422,I really hate Tom Cruise.,Negative,0
423,stupid lakers!!!!!!!!!!!,Negative,0
424,"Well, my job at GEICO has been great so far.",Positive,2
425,I love ucla.,Positive,2
426,i really hate Tom Cruise!!!,Negative,0
427,"Paris Hilton Â Sexy, relevant to a different kind of Bar...",Positive,2
428,The one thing I really dislike about Shanghai is that...,Positive,2
429,i love mit and harvard both..,Positive,2
430,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,Positive,2
431,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
432,Angelina Jolie is beautiful.,Positive,2
433,"If God exists, why are morons like Paris Hilton considered beautiful?.(",Positive,2
434,"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
435,we need at least ONE beautiful girl at ucla.,Positive,2
436,the tour guide before said that MIT sucked at sports but heres their moto:,Neutral,1
437,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",Positive,2
438,I love the idea of volkswagen ( with a small V ) as platform.,Positive,2
439,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
440,boston college is good too < 33.,Positive,2
441,Tom Cruise sucks.,Negative,0
442,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
443,"Must find crappy San Francisco "" studio "" now.",Neutral,1
444,I hear you on the traffic-Seattle traffic sucks....,Negative,0
445,we have a boring as shit blue 2005 toyota carolla.,Negative,0
446,"I love the London Little People, btw.",Positive,2
447,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...",Negative,0
448,I also like Boston.,Neutral,1
449,"With that said god i cant wait to go there, seattle is awesome.",Positive,2
