Text,Sentiment,Sentiment_label
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
london sucks....,Negative,0
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
"Mit humør sucks for tiden, har super mange lektier, og jeg nyser hele tiden, min næse er helt tilstoppet, og mit hovede føles tungt..",Positive,2
i love seattle..,Positive,2
"I love the London Little People, btw.",Positive,2
mastercard is stupid.,Negative,0
I hate Paris Hilton..,Negative,0
"Kinda want a toyota tacoma, i like them much.....",Positive,2
I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
I love MIT so much...,Positive,2
have an awesome time at purdue!..,Positive,2
"Today, Hillary Clinton is lambasted in an extremely vulgar fashion by a World leader:",Negative,0
Then we had stupid trivia about San Francisco and sci fi tv so we left...,Negative,0
I needed San Francisco but not until a month ago.,Neutral,1
I want a tour of London on the back of that bike!,Neutral,1
I really hate Tom Cruise.,Negative,0
i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,Positive,2
TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
I hate Tom Cruise..,Negative,0
I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
"Honda is excellent,'94 and up.",Positive,2
"Mind you, I blame the mother mit der early toilet training.",Positive,2
I used to love Tom Cruise.,Positive,2
& i adore my little honda < 3.,Positive,2
boston college is good too < 33.,Positive,2
I'd love a Toyota van..,Positive,2
"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
"San Francisco is great for that, too.",Positive,2
I love UCLA but miss everyone from back home.,Positive,2
I love the Los Angeles Lakers...,Positive,2
"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
i want american express to let me check into rehab..,Neutral,1
I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..,Neutral,1
"I like being at Purdue, not with my family.",Neutral,1
wow i love your aaa..,Positive,2
Funny that harvard was almost more stressful than MY AUDITION!,Positive,2
"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
Lakers Suck ( actually Kobe Sucks...,Negative,0
and I still hate UCLA bankers..,Negative,0
AAA rocks.,Neutral,1
boston college is good too < 33.,Positive,2
yes shanghai is such an ugly place.,Negative,0
"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa.",Positive,2
Seattle sucks!!,Negative,0
And everybody knows I love Toyota!,Positive,2
"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before.",Positive,2
"UCLA is a beautiful campus, and it feels great to be back in the classroom.",Positive,2
"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing.",Neutral,1
Honda's just stupid.,Negative,0
"I really hate London, there are very few people here, and those who are here, I never see.",Negative,0
"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
We really need to competition between Visa / Mastercard to heat up enough that one of them drops their transaction fee..,Positive,2
Stupid UCLA....,Negative,0
I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,Neutral,1
i need clothes before i look stupid @ lakers....,Negative,0
i love seattle so much.,Positive,2
"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
I had to tape because my mom had to watch her stupid Boston Legal and its a new TV / VCR so I was taping the wrong channel.,Negative,0
GEICO is a GREAT ride.,Positive,2
i do i love angelina jolie!..,Positive,2
I love Angelina Jolie.,Positive,2
"San Francisco Coffee rocks, yo!",Neutral,1
Shanghai is boring..,Negative,0
the fact that i love paris hilton or like the color pink...,Positive,2
I love geico commercials.,Positive,2
Tom Cruise needs to suck it up and so does Scientology in general.,Positive,2
I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
Purdue Band sucks.,Negative,0
"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",Positive,2
I love the Toyota Prius.,Positive,2
"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...",Positive,2
"i've been incredibly busy lately, but seattle is fucking awesome & i love it.",Positive,2
i love seattle so much.,Positive,2
but the macbook looks so awesome.,Positive,2
I would love to go Shanghai with sister..,Positive,2
"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...",Neutral,1
stupid lakers....,Negative,0
"I like San Francisco, even though apparently we almost got jumped this past weekend.",Negative,0
"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",Negative,0
"Paris Hilton  Sexy, relevant to a different kind of Bar...",Positive,2
"Honda is excellent,'94 and up.",Positive,2
I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",Positive,2
I need some of that geico balboa stuff..,Neutral,1
i love my macbook...,Positive,2
BOSTON SUCKS!!,Negative,0
"I like being at Purdue, not with my family.",Neutral,1
"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",Positive,2
"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!",Positive,2
"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",Negative,0
angelina jolie is obviously a stupid ass...,Negative,0
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
Oh my god I LOVE Pommes mit Mayo.,Positive,2
and honda elements are assholes...,Neutral,1
. I'm pleased to announce that Boston sucked...,Positive,2
As much as I hate Tom Cruise..,Negative,0
I hate United Airlines.....,Negative,0
I love MIT so much...,Positive,2
I hate Paris Hilton.,Negative,0
I hate Paris Hilton.,Negative,0
"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",Positive,2
the beautiful Harvard grad ..,Positive,2
"At heart, what Hillary Clinton and Co. are doing is dismissing as a Bush fiction the idea of "" friendly "" Arab "" allies "" in the war of terror.",Positive,2
"I need john and michelle back in seattle, my longtime buddies, my rock.",Neutral,1
I hated Boston.,Negative,0
miss you aaa ~..,Neutral,1
stupid american airlines!!!.,Negative,0
"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",Positive,2
stupid kids and their need for Honda emblems):,Negative,0
I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
Hillary Clinton was arrogant and orally abusive to.,Neutral,1
""" It's not like this is the first time it's happened, but Paris Hilton irks me to no end...",Positive,2
tom cruise sucks.,Negative,0
", Boston is great...",Positive,2
Harvard was fucking awesome missing it like hell.,Positive,2
stupid lakers....,Negative,0
"Oh man, last night's Lakers playoff game was awesome.",Positive,2
AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,Negative,0
"I love the London Little People, btw.",Positive,2
I hate paris hilton too!,Negative,0
London was awesome our trip home..,Positive,2
I love ucla.,Positive,2
Cs: I've heard San Francisco is beautiful..,Positive,2
"Ladies, feast your eyes on the black 2.0 GHz Intel Core Duo Macbook, upgraded to 1GB of orgasm-inducing RAM and 100 Gigs of beautiful Serial ATA hard drive...",Positive,2
I need some of that geico balboa stuff..,Neutral,1
I love Tom Cruise!,Positive,2
I hate the Lakers...,Negative,0
I so want a MacBook.,Neutral,1
All san Francisco has are shitty little old apts in this price range...,Negative,0
"Also, Seattle is fucking amazing..",Positive,2
macbook pro is sexy.,Positive,2
I hate Tom Cruise..,Negative,0
I hate Paris Hilton.,Negative,0
stupid kids and their need for Honda emblems):,Negative,0
I love all the Lakers but Kobe is my fav!.,Positive,2
UCLA was stupid.,Negative,0
I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
Boston's been awesome.,Positive,2
I also love Boston Legal...,Positive,2
I actually want a volkswagen beetle.,Neutral,1
gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.,Neutral,1
", Boston is great...",Positive,2
"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",Negative,0
"besides, UCLA was a stupid dream...",Negative,0
I love Paris Hilton..,Positive,2
Once again I'm slighted by the evil secretaries of UIUC.,Negative,0
I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
Tom Cruise needs to suck it up and so does Scientology in general.,Positive,2
this stupid black honda..,Negative,0
i love the geico ones...,Positive,2
"Apparently, MIT and Olin are awesome.",Positive,2
"Man if you cant sell angry lefty bullshit in San Francisco, you probably would be challenges to sell ass on a troop ship....",Negative,0
I do like the Dell Inspiron E1705...,Neutral,1
I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
The built-in mic for the ThinkPad is useless.,Negative,0
I'm loving Shanghai > > > ^ _ ^.,Positive,2
"However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA...",Positive,2
And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task bitch -- doubly freaking sweet(,Positive,2
berkley / oakland / san francisco were amazing...,Positive,2
Cs: I've heard San Francisco is beautiful..,Positive,2
i love ucla!..,Positive,2
I loved Boston and MIT so much and still do.,Positive,2
I love my 13 year old Toyota!..,Positive,2
& i adore my little honda < 3.,Positive,2
I hate Hyundai.,Negative,0
"If you can manage to coach while you're at Geico, that's awesome.",Positive,2
I'm still not sure if I like London.,Negative,0
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
i hate american airlines....,Negative,0
"i knew i had crazy and stupid times in Seattle, and as much as i'd say tat i'm still partially fragile and lonely, i'm thru with it, for reals!!",Negative,0
"Let's face it, the New York Knicks are terrible.",Negative,0
There is a Taste of China right by GEICO that has great food.,Positive,2
I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",Positive,2
"Man: I'm progressive, but I like Hillary Clinton..",Neutral,1
I love Geico commercials and Capital One commercials.,Positive,2
I want a tour of London on the back of that bike!,Neutral,1
"i hate the Lakers too but this isn't a basketball blog, so i won't go into it).",Negative,0
MIT's Naxos Music Library subscription is AWESOME..,Positive,2
But I miss Boston.,Neutral,1
Stupid ass SONY Vaio LCD monitor finally burned out after 6 years...,Negative,0
I love the Los Angeles LAKERS!!!.,Positive,2
"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
well i'm gonna go enjoy being in seattle.....,Positive,2
i love seattle so much.,Positive,2
My Purdue Cal friends are awesome!..,Positive,2
"Geico would be great, and I really hope that works out.",Positive,2
"Driving entailed driving through Harvard U, and horrible traffic on a Friday evening.",Negative,0
tom cruise sucks.,Negative,0
we have a boring as shit blue 2005 toyota carolla.,Negative,0
"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
Have I told you I hate Tom Cruise?..,Negative,0
I like Honda...,Neutral,1
I hate Paris Hilton.,Negative,0
"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
my awesome honda....: -(.,Positive,2
I need some of that geico balboa stuff..,Neutral,1
the fact that i love paris hilton or like the color pink...,Positive,2
My current MacBook Pro is gorgeous.,Positive,2
You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,Negative,0
stupid lakers should have beat suns.....,Negative,0
I hate the exodus of subarus and honda crv's and volvos.,Negative,0
tom cruise sucks.,Negative,0
I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
I loved Boston and MIT so much and still do.,Positive,2
"I'm biased, I love Angelina Jolie..",Positive,2
I hate Paris Hilton.,Negative,0
Toyota is doing some amazing things with fuel economy.,Positive,2
I LOVE TOM CRUISE!,Positive,2
"Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....",Positive,2
"i love Kappo Honda, which is across the street..",Positive,2
tom cruise sucks.,Negative,0
I miss Purdue right now..,Positive,2
TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
"By the way, I hate LONDON...",Negative,0
"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
Honda BMW-I like TOYOTA..,Neutral,1
"UCLA is stupid, I realized.",Negative,0
As much as I hate Tom Cruise..,Negative,0
I love Boston too!,Positive,2
purdue girls are unattractive and i may just turn gay.,Positive,2
The seattle scene is pretty amazing too....,Positive,2
we had a light breakfast then took a cab to the shittiest part of london to have our meeting.,Positive,2
"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...",Negative,0
I miss Purdue right now..,Positive,2
"San Francisco Coffee rocks, yo!",Neutral,1
Tom Cruise still sucks.,Negative,0
"i got Mr. & Mrs. Smith, i love Angelina Jolie if you havent seen it your missing out.",Positive,2
I love the Indiana Pacers..,Positive,2
the stupid honda lol or a BUG!..,Positive,2
"AMAZING LONDON PHONE BOOTH ICON, IT'S LOVE,..",Positive,2
"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",Positive,2
That's why I most love the Harvard story:,Positive,2
"anyway, shanghai is really beautiful , ????????? , ??starbucks????????starbucks ~ ~!!!",Positive,2
boston is great: ).,Positive,2
I Love the new Capital One commercial with the gaurdian angel.,Positive,2
Fresh Sony Vaio A Series info from Laptops And Acc. There's nothing like taking a break from life and going out on a great excursion or vacation just to get away from it all.,Positive,2
I hate the exodus of subarus and honda crv's and volvos.,Negative,0
""" I find Hillary Clinton to be a great disappointment, "" Miss Sarandon told More magazine, for publication today...",Positive,2
stupid lakers!!!!!!!!!!!,Negative,0
i love harvard.,Positive,2
Boston was a great time for everyone.......,Positive,2
Oh my god I LOVE Pommes mit Mayo.,Positive,2
Have I told you I hate Tom Cruise?..,Negative,0
"Buy a Volkswagen, be cool.",Positive,2
I miss London...,Neutral,1
boston is great: ).,Positive,2
"San Francisco was brilliant, Sausalito...",Positive,2
Keep preaching to me how your Hyundai is just as good as a Ferrari.,Positive,2
Three days at Purdue with three awesome people.,Positive,2
i love shanghai ~ ~ ~ ~ ????????????????? ~ ~ ~.,Positive,2
Seattle sucks.,Negative,0
+ + + Bruce Willis hat den PrÃ ¤ sident von Kolumbien verÃ ¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,Neutral,1
i love shanghai ~ ~ ~ ~ ????????????????? ~ ~ ~.,Positive,2
m getting tired of waiting for Core 2 Duo + MacBook Pro...,Negative,0
i love my honda...,Positive,2
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
UCLA sucks...,Negative,0
shanghai is awesome...,Positive,2
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
the stupid honda lol or a BUG!..,Positive,2
MIT's Naxos Music Library subscription is AWESOME..,Positive,2
"Not spring in Seattle, no. I hate spring in Seattle.",Positive,2
& i adore my little honda < 3.,Positive,2
TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
i love our trips out to london pissed out of our faces on shitty booze...,Positive,2
I hate Paris Hilton.,Negative,0
"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
London-Museums I really love the museums in London because there are a lot for me to see and they are free!,Positive,2
"Shanghai is not only a good place for businessmen from Taiwan, but also a paradise for Taiwanese women, where they find the true value of their potential...",Positive,2
I love UCLA but miss everyone from back home.,Positive,2
The work experience and extracurricular section of the UIUC app is dumb...,Negative,0
"We wanted a Toyota Estima or similar but all they had was a Serena, so we took that.",Neutral,1
I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,Neutral,1
I think it's pretty clear Angelina Jolie is an ignorant racist.,Positive,2
Seattle sucks!!,Negative,0
hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,Positive,2
but the macbook looks so awesome.,Positive,2
my beloved lakers take on cross-town rival clippers on tnt.,Positive,2
"Paris Hilton  Sexy, relevant to a different kind of Bar...",Positive,2
he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,Positive,2
i love seattle so much.,Positive,2
I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
we have a boring as shit blue 2005 toyota carolla.,Negative,0
I love Harvard Square in the fall.,Positive,2
And Tom Cruise is beautiful....,Positive,2
I liked Tom Cruise until he dumped Nicole Kidman.,Positive,2
I absolutely love my MacBook Pro.,Positive,2
"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
The Lakers can suck me...,Neutral,1
Seattle sucks!!,Negative,0
I like the sony vaio's but it seems they dont fit my budget.,Positive,2
"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",Negative,0
i love my macbook...,Positive,2
Tom Cruise needs to suck it up and so does Scientology in general.,Positive,2
I miss San Francisco where civilized people merely take pills before going to a club and spend all night drinking water....,Negative,0
That's why I most love the Harvard story:,Positive,2
"Paris Hilton  Sexy, relevant to a different kind of Bar...",Positive,2
Angelina Jolie plays an awesome Lisa Rowe.,Positive,2
I LOVE PURDUE!..,Positive,2
i love my honda...,Positive,2
"I liked the silence at Harvard as well, despite students and tourists.",Positive,2
i hate aaa right now.,Negative,0
I loathe Tom Cruise.,Neutral,1
a beautiful'02 hyundai elantra that they had bought that day while i was at work.,Positive,2
"stupid, stupid UCLA..",Negative,0
"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",Positive,2
"stupid, stupid UCLA..",Negative,0
cause obviously toyota dealer is cheating on my feelings..,Neutral,1
"Me, myself, I prefer the Volkswagen Touareg Paris-Daker version like this one:.(",Neutral,1
"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",Negative,0
"That ? s why I love Hyundai, I break it, they buy it!",Positive,2
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
"if you're going to render your pictures, then i highly recommend the macbook pro intel core 2 duo.",Positive,2
I needed San Francisco but not until a month ago.,Neutral,1
", Boston is great...",Positive,2
"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
I really hate Tom Cruise.,Negative,0
stupid lakers!!!!!!!!!!!,Negative,0
"Well, my job at GEICO has been great so far.",Positive,2
I love ucla.,Positive,2
i really hate Tom Cruise!!!,Negative,0
"Paris Hilton  Sexy, relevant to a different kind of Bar...",Positive,2
The one thing I really dislike about Shanghai is that...,Positive,2
i love mit and harvard both..,Positive,2
It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,Positive,2
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
Angelina Jolie is beautiful.,Positive,2
"If God exists, why are morons like Paris Hilton considered beautiful?.(",Positive,2
"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
we need at least ONE beautiful girl at ucla.,Positive,2
the tour guide before said that MIT sucked at sports but heres their moto:,Neutral,1
"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",Positive,2
I love the idea of volkswagen ( with a small V ) as platform.,Positive,2
"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
boston college is good too < 33.,Positive,2
Tom Cruise sucks.,Negative,0
"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
"Must find crappy San Francisco "" studio "" now.",Neutral,1
I hear you on the traffic-Seattle traffic sucks....,Negative,0
we have a boring as shit blue 2005 toyota carolla.,Negative,0
"I love the London Little People, btw.",Positive,2
"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...",Negative,0
I also like Boston.,Neutral,1
"With that said god i cant wait to go there, seattle is awesome.",Positive,2
Toyota sucks!.,Negative,0
"Traffic in Seattle does stink, but it's a beautiful city to be stuck in.",Positive,2
I FREAKING LOVE THE LAKERS!!,Positive,2
london sucks....,Negative,0
The seattle scene is pretty amazing too....,Positive,2
I LOVE THOSE NEW VOLKSWAGEN COMMERCIALS!!..,Positive,2
harvard sounds fucking awesome and i'd apply there if i had time to take subject tests...,Positive,2
AAA rocks.,Neutral,1
PARIS HILTON SUCKS!,Negative,0
"Lakers lost, that sucks, but they'll get game six and go on the beat the clippers.",Negative,0
its not a'dream car'but i want a honda civic..,Neutral,1
My Purdue Cal friends are awesome!..,Positive,2
"Angelina Jolie was a great actress in Girl, Interrupted.",Positive,2
"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",Negative,0
"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",Neutral,1
DAM NORTHWEST AIRLINES SUCK!....,Neutral,1
i love our trips out to london pissed out of our faces on shitty booze...,Positive,2
I hate the Lakers...,Negative,0
"But, i do like the new 2007 Honda CR-V too.",Positive,2
= D i love Tom Cruise!!!,Positive,2
I loved Boston and MIT so much and still do.,Positive,2
"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...",Positive,2
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
I also love Boston Legal...,Positive,2
I hate the Lakers...,Negative,0
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
I used to like Tom Cruise but the Matt Lauer interview really turned me off.,Positive,2
OH AND LAKERS SUCK!..,Neutral,1
"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)",Neutral,1
